tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
10693,note_on,,,,,33,0,1,,,0,75,81,,
10709,note_off,,,,,16,0,1,,,0,70,64,,
10802,note_on,,,,,93,0,1,,,0,65,52,,
10804,note_on,,,,,2,0,1,,,0,57,34,,
10806,control_change,,,,,2,0,1,,,0,,,64,127
10830,note_off,,,,,24,0,1,,,0,75,64,,
10836,note_off,,,,,6,0,1,,,0,57,64,,
10852,note_on,,,,,16,0,1,,,0,73,66,,
10866,note_off,,,,,14,0,1,,,0,65,64,,
10902,note_on,,,,,36,0,1,,,0,66,44,,
10903,note_on,,,,,1,0,1,,,0,58,36,,
10908,note_on,,,,,5,0,1,,,0,78,69,,
10925,note_off,,,,,17,0,1,,,0,73,64,,
10938,note_off,,,,,13,0,1,,,0,66,64,,
10939,note_off,,,,,1,0,1,,,0,58,64,,
10952,note_on,,,,,13,0,1,,,0,82,62,,
10964,note_off,,,,,12,0,1,,,0,78,64,,
10975,control_change,,,,,11,0,1,,,0,,,64,0
10997,note_on,,,,,22,0,1,,,0,87,75,,
11009,note_off,,,,,12,0,1,,,0,82,64,,
11055,note_off,,,,,46,0,1,,,0,87,64,,
11055,note_on,,,,,0,0,1,,,0,85,74,,
11104,note_on,,,,,49,0,1,,,0,87,55,,
11108,note_on,,,,,4,0,1,,,0,69,41,,
11111,note_off,,,,,3,0,1,,,0,85,64,,
11115,note_on,,,,,4,0,1,,,0,60,41,,
11137,note_off,,,,,22,0,1,,,0,69,64,,
11147,note_off,,,,,10,0,1,,,0,60,64,,
11161,note_on,,,,,14,0,1,,,0,85,40,,
11170,note_off,,,,,9,0,1,,,0,87,64,,
11213,note_off,,,,,43,0,1,,,0,85,64,,
11220,note_on,,,,,0,0,1,,,0,70,41,,
11220,note_on,,,,,7,0,1,,,0,82,48,,
11233,note_on,,,,,13,0,1,,,0,61,29,,
11249,note_off,,,,,16,0,1,,,0,70,64,,
11263,note_on,,,,,14,0,1,,,0,78,54,,
11265,note_off,,,,,2,0,1,,,0,82,64,,
11269,note_off,,,,,4,0,1,,,0,61,64,,
11325,note_on,,,,,56,0,1,,,0,75,57,,
11332,note_off,,,,,7,0,1,,,0,78,64,,
11373,note_on,,,,,41,0,1,,,0,73,51,,
11376,note_off,,,,,3,0,1,,,0,75,64,,
11411,note_off,,,,,35,0,1,,,0,73,64,,
11427,note_on,,,,,16,0,1,,,0,75,47,,
11492,note_off,,,,,65,0,1,,,0,75,64,,
11492,note_on,,,,,0,0,1,,,0,73,41,,
11552,note_on,,,,,60,0,1,,,0,70,38,,
11554,note_off,,,,,2,0,1,,,0,73,64,,
11604,note_off,,,,,50,0,1,,,0,70,64,,
11607,note_on,,,,,3,0,1,,,0,66,30,,
11620,control_change,,,,,13,0,1,,,0,,,64,127
11640,note_off,,,,,20,0,1,,,0,66,64,,
11698,note_on,,,,,58,0,1,,,0,66,25,,
11812,control_change,,,,,114,0,1,,,0,,,64,0
11832,note_on,,,,,20,0,1,,,0,61,31,,
11836,note_on,,,,,4,0,1,,,0,57,21,,
11895,note_off,,,,,59,0,1,,,0,57,64,,
11913,control_change,,,,,18,0,1,,,0,,,64,127
11914,note_off,,,,,1,0,1,,,0,66,64,,
11918,note_on,,,,,4,0,1,,,0,65,39,,
11940,note_off,,,,,22,0,1,,,0,61,64,,
